dataset,auroc,accuracy,tpr_at_fpr,fpr,arm,n,val_mode,lr_factor,seed,mode,n_redteam,n_dev_offered,n_dev_fit,n_dev_val,ft_best_epoch
eval_balanced_refusal,0.6677375,0.6675,0.0,0.01,deepseekv4pro,8,dev,1.0,7,finetune,878,32,24,8,1.0
eval_daily_dilemmas,0.975374843815077,0.8316326530612245,0.6632653061224489,0.01,deepseekv4pro,8,dev,1.0,7,finetune,878,32,24,8,1.0
mean,0.8370693021408193,0.7357906259518733,0.338610444177671,0.01,deepseekv4pro,8,dev,1.0,7,finetune,878,32,24,8,1.0
eval_ai_dilemmas,0.9710207612456748,0.7941176470588235,0.7058823529411765,0.01,deepseekv4pro,8,mixed,0.1,13,finetune,878,32,24,8,39.0
eval_ant_hh,0.7564045444419693,0.7014925373134329,0.0,0.01,deepseekv4pro,8,mixed,0.1,13,finetune,878,32,24,8,39.0
eval_balanced_refusal,0.856825,0.785,0.525,0.01,deepseekv4pro,8,mixed,0.1,13,finetune,878,32,24,8,39.0
eval_daily_dilemmas,0.9716264056643066,0.9183673469387756,0.6938775510204082,0.01,deepseekv4pro,8,mixed,0.1,13,finetune,878,32,24,8,39.0
mean,0.8889691778379877,0.799744382827758,0.4811899759903961,0.01,deepseekv4pro,8,mixed,0.1,13,finetune,878,32,24,8,39.0
eval_ai_dilemmas,0.9775086505190312,0.9044117647058824,0.7941176470588235,0.01,deepseekv4pro,8,mixed,0.1,42,finetune,878,32,24,8,5.0
eval_ant_hh,0.7127422588549788,0.6567164179104478,0.0,0.01,deepseekv4pro,8,mixed,0.1,42,finetune,878,32,24,8,5.0
eval_balanced_refusal,0.9396,0.83,0.705,0.01,deepseekv4pro,8,mixed,0.1,42,finetune,878,32,24,8,5.0
eval_daily_dilemmas,0.9745939192003332,0.8928571428571429,0.5714285714285714,0.01,deepseekv4pro,8,mixed,0.1,42,finetune,878,32,24,8,5.0
mean,0.9011112071435858,0.8209963313683682,0.5176365546218487,0.01,deepseekv4pro,8,mixed,0.1,42,finetune,878,32,24,8,5.0
eval_ai_dilemmas,0.9397707612456748,0.7426470588235294,0.75,0.01,deepseekv4pro,8,mixed,0.1,7,finetune,878,32,24,8,26.0
eval_ant_hh,0.747048340387614,0.7238805970149254,0.0,0.01,deepseekv4pro,8,mixed,0.1,7,finetune,878,32,24,8,26.0
eval_balanced_refusal,0.8231000000000002,0.765,0.435,0.01,deepseekv4pro,8,mixed,0.1,7,finetune,878,32,24,8,26.0
eval_daily_dilemmas,0.968554768846314,0.8979591836734694,0.6836734693877551,0.01,deepseekv4pro,8,mixed,0.1,7,finetune,878,32,24,8,26.0
mean,0.8696184676199008,0.7823717098779811,0.4671683673469388,0.01,deepseekv4pro,8,mixed,0.1,7,finetune,878,32,24,8,26.0
eval_ai_dilemmas,0.997621107266436,0.9191176470588236,0.0,0.01,deepseekv4pro,8,mixed,1.0,13,finetune,878,32,24,8,5.0
eval_ant_hh,0.6848964134551125,0.5970149253731343,0.0,0.01,deepseekv4pro,8,mixed,1.0,13,finetune,878,32,24,8,5.0
eval_balanced_refusal,0.8674625,0.6875,0.365,0.01,deepseekv4pro,8,mixed,1.0,13,finetune,878,32,24,8,5.0
eval_daily_dilemmas,0.9768846314035818,0.826530612244898,0.6632653061224489,0.01,deepseekv4pro,8,mixed,1.0,13,finetune,878,32,24,8,5.0
mean,0.8817161630312826,0.7575407961692139,0.2570663265306122,0.01,deepseekv4pro,8,mixed,1.0,13,finetune,878,32,24,8,5.0
eval_ai_dilemmas,0.9991349480968856,0.9705882352941176,0.9705882352941176,0.01,deepseekv4pro,8,mixed,1.0,42,finetune,878,32,24,8,2.0
eval_ant_hh,0.6975941189574517,0.6567164179104478,0.0,0.01,deepseekv4pro,8,mixed,1.0,42,finetune,878,32,24,8,2.0
eval_balanced_refusal,0.8302499999999999,0.7225,0.255,0.01,deepseekv4pro,8,mixed,1.0,42,finetune,878,32,24,8,2.0
eval_daily_dilemmas,0.98432944606414,0.8775510204081632,0.5816326530612245,0.01,deepseekv4pro,8,mixed,1.0,42,finetune,878,32,24,8,2.0
mean,0.8778271282796194,0.8068389184031821,0.4518052220888355,0.01,deepseekv4pro,8,mixed,1.0,42,finetune,878,32,24,8,2.0
eval_ai_dilemmas,0.955666089965398,0.75,0.6911764705882353,0.01,deepseekv4pro,8,mixed,1.0,7,finetune,878,32,24,8,1.0
eval_ant_hh,0.7494987747828024,0.6940298507462687,0.0,0.01,deepseekv4pro,8,mixed,1.0,7,finetune,878,32,24,8,1.0
eval_balanced_refusal,0.6677375,0.6675,0.0,0.01,deepseekv4pro,8,mixed,1.0,7,finetune,878,32,24,8,1.0
eval_daily_dilemmas,0.975374843815077,0.8316326530612245,0.6632653061224489,0.01,deepseekv4pro,8,mixed,1.0,7,finetune,878,32,24,8,1.0
mean,0.8370693021408193,0.7357906259518733,0.338610444177671,0.01,deepseekv4pro,8,mixed,1.0,7,finetune,878,32,24,8,1.0
eval_ai_dilemmas,0.9987024221453288,0.9705882352941176,0.9558823529411764,0.01,gptoss120b,0,-,1.0,13,stage1,778,0,0,0,
eval_ant_hh,0.7369124526620627,0.7014925373134329,0.0,0.01,gptoss120b,0,-,1.0,13,stage1,778,0,0,0,
eval_balanced_refusal,0.9506249999999998,0.81,0.845,0.01,gptoss120b,0,-,1.0,13,stage1,778,0,0,0,
eval_daily_dilemmas,0.9827155351936692,0.9336734693877552,0.0,0.01,gptoss120b,0,-,1.0,13,stage1,778,0,0,0,
mean,0.9172388525002652,0.8539385604988264,0.4502205882352941,0.01,gptoss120b,0,-,1.0,13,stage1,778,0,0,0,
eval_ai_dilemmas,0.990160034602076,0.8455882352941176,0.9852941176470588,0.01,gptoss120b,0,-,1.0,42,stage1,778,0,0,0,
eval_ant_hh,0.7494987747828026,0.7089552238805971,0.0,0.01,gptoss120b,0,-,1.0,42,stage1,778,0,0,0,
eval_balanced_refusal,0.8697999999999999,0.7975,0.58,0.01,gptoss120b,0,-,1.0,42,stage1,778,0,0,0,
eval_daily_dilemmas,0.9815701790920448,0.9540816326530612,0.0,0.01,gptoss120b,0,-,1.0,42,stage1,778,0,0,0,
mean,0.8977572471192308,0.8265312729569441,0.3913235294117647,0.01,gptoss120b,0,-,1.0,42,stage1,778,0,0,0,
eval_ai_dilemmas,0.9896193771626296,0.9411764705882352,0.8970588235294118,0.01,gptoss120b,0,-,1.0,7,stage1,778,0,0,0,
eval_ant_hh,0.7325685007796837,0.6865671641791045,0.0,0.01,gptoss120b,0,-,1.0,7,stage1,778,0,0,0,
eval_balanced_refusal,0.93535,0.7925,0.595,0.01,gptoss120b,0,-,1.0,7,stage1,778,0,0,0,
eval_daily_dilemmas,0.9705331112036653,0.9132653061224488,0.0,0.01,gptoss120b,0,-,1.0,7,stage1,778,0,0,0,
mean,0.9070177472864946,0.8333772352224471,0.3730147058823529,0.01,gptoss120b,0,-,1.0,7,stage1,778,0,0,0,
eval_ai_dilemmas,0.9989186851211072,0.9779411764705882,0.9558823529411764,0.01,gptoss120b,16,dev,0.1,13,finetune,778,64,49,15,1.0
eval_ant_hh,0.760637112942749,0.7164179104477612,0.0,0.01,gptoss120b,16,dev,0.1,13,finetune,778,64,49,15,1.0
eval_balanced_refusal,0.9025125,0.825,0.605,0.01,gptoss120b,16,dev,0.1,13,finetune,778,64,49,15,1.0
eval_daily_dilemmas,0.98344439816743,0.9387755102040816,0.0,0.01,gptoss120b,16,dev,0.1,13,finetune,778,64,49,15,1.0
mean,0.9113781740578216,0.8645336492806078,0.3902205882352941,0.01,gptoss120b,16,dev,0.1,13,finetune,778,64,49,15,1.0
eval_ai_dilemmas,0.9989186851211072,0.9779411764705882,0.0,0.01,gptoss120b,16,dev,0.1,42,finetune,778,64,49,15,1.0
eval_ant_hh,0.7519492091779907,0.7089552238805971,0.0,0.01,gptoss120b,16,dev,0.1,42,finetune,778,64,49,15,1.0
eval_balanced_refusal,0.9123875,0.84,0.6,0.01,gptoss120b,16,dev,0.1,42,finetune,778,64,49,15,1.0
eval_daily_dilemmas,0.9771449396084964,0.9591836734693876,0.0,0.01,gptoss120b,16,dev,0.1,42,finetune,778,64,49,15,1.0
mean,0.9101000834768984,0.8715200184551433,0.15,0.01,gptoss120b,16,dev,0.1,42,finetune,778,64,49,15,1.0
eval_ai_dilemmas,0.9967560553633218,0.9779411764705882,0.9558823529411764,0.01,gptoss120b,16,dev,0.1,7,finetune,778,64,49,15,23.0
eval_ant_hh,0.7430385386500334,0.6791044776119403,0.0,0.01,gptoss120b,16,dev,0.1,7,finetune,778,64,49,15,23.0
eval_balanced_refusal,0.8760625,0.81,0.615,0.01,gptoss120b,16,dev,0.1,7,finetune,778,64,49,15,23.0
eval_daily_dilemmas,0.9825072886297376,0.9438775510204082,0.0,0.01,gptoss120b,16,dev,0.1,7,finetune,778,64,49,15,23.0
mean,0.8995910956607732,0.8527308012757341,0.3927205882352941,0.01,gptoss120b,16,dev,0.1,7,finetune,778,64,49,15,23.0
eval_ai_dilemmas,0.9997837370242214,0.9926470588235294,0.9852941176470588,0.01,gptoss120b,16,dev,1.0,13,finetune,778,64,49,15,18.0
eval_ant_hh,0.7487190911116061,0.7089552238805971,0.0,0.01,gptoss120b,16,dev,1.0,13,finetune,778,64,49,15,18.0
eval_balanced_refusal,0.960625,0.8725,0.77,0.01,gptoss120b,16,dev,1.0,13,finetune,778,64,49,15,18.0
eval_daily_dilemmas,0.985630987088713,0.9642857142857144,0.0,0.01,gptoss120b,16,dev,1.0,13,finetune,778,64,49,15,18.0
mean,0.9236897038061352,0.8845969992474603,0.4388235294117647,0.01,gptoss120b,16,dev,1.0,13,finetune,778,64,49,15,18.0
eval_ai_dilemmas,1.0,0.9705882352941176,0.0,0.01,gptoss120b,16,dev,1.0,42,finetune,778,64,49,15,23.0
eval_ant_hh,0.728113165515705,0.6492537313432836,0.0,0.01,gptoss120b,16,dev,1.0,42,finetune,778,64,49,15,23.0
eval_balanced_refusal,0.9223125,0.8525,0.785,0.01,gptoss120b,16,dev,1.0,42,finetune,778,64,49,15,23.0
eval_daily_dilemmas,0.9872969596001666,0.9540816326530612,0.8061224489795918,0.01,gptoss120b,16,dev,1.0,42,finetune,778,64,49,15,23.0
mean,0.909430656278968,0.8566058998226156,0.3977806122448979,0.01,gptoss120b,16,dev,1.0,42,finetune,778,64,49,15,23.0
eval_ai_dilemmas,0.9997837370242214,0.9926470588235294,0.9852941176470588,0.01,gptoss120b,16,dev,1.0,7,finetune,778,64,49,15,1.0
eval_ant_hh,0.7096235241701938,0.6492537313432836,0.0,0.01,gptoss120b,16,dev,1.0,7,finetune,778,64,49,15,1.0
eval_balanced_refusal,0.9539375,0.8925,0.79,0.01,gptoss120b,16,dev,1.0,7,finetune,778,64,49,15,1.0
eval_daily_dilemmas,0.9888588088296544,0.9591836734693876,0.8877551020408163,0.01,gptoss120b,16,dev,1.0,7,finetune,778,64,49,15,1.0
mean,0.9130508925060172,0.8733961159090502,0.6657623049219688,0.01,gptoss120b,16,dev,1.0,7,finetune,778,64,49,15,1.0
eval_ai_dilemmas,0.9989186851211072,0.9779411764705882,0.9558823529411764,0.01,gptoss120b,16,mixed,0.1,13,finetune,778,64,49,15,3.0
eval_ant_hh,0.760191579416351,0.7164179104477612,0.0,0.01,gptoss120b,16,mixed,0.1,13,finetune,778,64,49,15,3.0
eval_balanced_refusal,0.9055625,0.8275,0.61,0.01,gptoss120b,16,mixed,0.1,13,finetune,778,64,49,15,3.0
eval_daily_dilemmas,0.9834964598084132,0.9387755102040816,0.0,0.01,gptoss120b,16,mixed,0.1,13,finetune,778,64,49,15,3.0
mean,0.912042306086468,0.8651586492806078,0.3914705882352941,0.01,gptoss120b,16,mixed,0.1,13,finetune,778,64,49,15,3.0
eval_ai_dilemmas,0.9989186851211072,0.9779411764705882,0.0,0.01,gptoss120b,16,mixed,0.1,42,finetune,778,64,49,15,1.0
eval_ant_hh,0.7519492091779907,0.7089552238805971,0.0,0.01,gptoss120b,16,mixed,0.1,42,finetune,778,64,49,15,1.0
eval_balanced_refusal,0.9123875,0.84,0.6,0.01,gptoss120b,16,mixed,0.1,42,finetune,778,64,49,15,1.0
eval_daily_dilemmas,0.9771449396084964,0.9591836734693876,0.0,0.01,gptoss120b,16,mixed,0.1,42,finetune,778,64,49,15,1.0
mean,0.9101000834768984,0.8715200184551433,0.15,0.01,gptoss120b,16,mixed,0.1,42,finetune,778,64,49,15,1.0
eval_ai_dilemmas,0.9958910034602076,0.9779411764705882,0.0,0.01,gptoss120b,16,mixed,0.1,7,finetune,778,64,49,15,2.0
eval_ant_hh,0.7445979059924259,0.6791044776119403,0.0,0.01,gptoss120b,16,mixed,0.1,7,finetune,778,64,49,15,2.0
eval_balanced_refusal,0.8655000000000002,0.8025,0.59,0.01,gptoss120b,16,mixed,0.1,7,finetune,778,64,49,15,2.0
eval_daily_dilemmas,0.9814660558100792,0.9387755102040816,0.0,0.01,gptoss120b,16,mixed,0.1,7,finetune,778,64,49,15,2.0
mean,0.8968637413156784,0.8495802910716526,0.1475,0.01,gptoss120b,16,mixed,0.1,7,finetune,778,64,49,15,2.0
eval_ai_dilemmas,0.9997837370242216,0.9852941176470588,0.9852941176470588,0.01,gptoss120b,16,mixed,1.0,13,finetune,778,64,49,15,1.0
eval_ant_hh,0.7473824905324126,0.7089552238805971,0.0,0.01,gptoss120b,16,mixed,1.0,13,finetune,778,64,49,15,1.0
eval_balanced_refusal,0.9603374999999998,0.875,0.77,0.01,gptoss120b,16,mixed,1.0,13,finetune,778,64,49,15,1.0
eval_daily_dilemmas,0.98557892544773,0.9642857142857144,0.0,0.01,gptoss120b,16,mixed,1.0,13,finetune,778,64,49,15,1.0
mean,0.923270663251091,0.8833837639533426,0.4388235294117647,0.01,gptoss120b,16,mixed,1.0,13,finetune,778,64,49,15,1.0
eval_ai_dilemmas,1.0,0.9705882352941176,0.0,0.01,gptoss120b,16,mixed,1.0,42,finetune,778,64,49,15,3.0
eval_ant_hh,0.7287814658053019,0.6716417910447762,0.0,0.01,gptoss120b,16,mixed,1.0,42,finetune,778,64,49,15,3.0
eval_balanced_refusal,0.9231875,0.86,0.785,0.01,gptoss120b,16,mixed,1.0,42,finetune,778,64,49,15,3.0
eval_daily_dilemmas,0.9875052061640984,0.9540816326530612,0.8163265306122449,0.01,gptoss120b,16,mixed,1.0,42,finetune,778,64,49,15,3.0
mean,0.90986854299235,0.8640779147479887,0.4003316326530612,0.01,gptoss120b,16,mixed,1.0,42,finetune,778,64,49,15,3.0
eval_ai_dilemmas,0.9997837370242214,0.9926470588235294,0.9852941176470588,0.01,gptoss120b,16,mixed,1.0,7,finetune,778,64,49,15,1.0
eval_ant_hh,0.7096235241701938,0.6492537313432836,0.0,0.01,gptoss120b,16,mixed,1.0,7,finetune,778,64,49,15,1.0
eval_balanced_refusal,0.9539375,0.8925,0.79,0.01,gptoss120b,16,mixed,1.0,7,finetune,778,64,49,15,1.0
eval_daily_dilemmas,0.9888588088296544,0.9591836734693876,0.8877551020408163,0.01,gptoss120b,16,mixed,1.0,7,finetune,778,64,49,15,1.0
mean,0.9130508925060172,0.8733961159090502,0.6657623049219688,0.01,gptoss120b,16,mixed,1.0,7,finetune,778,64,49,15,1.0
eval_ai_dilemmas,0.9980536332179932,0.9411764705882352,0.9411764705882352,0.01,gptoss120b,2,mixed,0.1,13,finetune,778,8,6,2,50.0
eval_ant_hh,0.7528402762307863,0.6865671641791045,0.0,0.01,gptoss120b,2,mixed,0.1,13,finetune,778,8,6,2,50.0
eval_balanced_refusal,0.9057125,0.765,0.72,0.01,gptoss120b,2,mixed,0.1,13,finetune,778,8,6,2,50.0
eval_daily_dilemmas,0.9803206997084548,0.923469387755102,0.0,0.01,gptoss120b,2,mixed,0.1,13,finetune,778,8,6,2,50.0
mean,0.9092317772893086,0.8290532556306105,0.4152941176470588,0.01,gptoss120b,2,mixed,0.1,13,finetune,778,8,6,2,50.0
eval_ai_dilemmas,0.9989186851211072,0.9852941176470588,0.0,0.01,gptoss120b,2,mixed,0.1,42,finetune,778,8,6,2,1.0
eval_ant_hh,0.7634216974827356,0.6791044776119403,0.0,0.01,gptoss120b,2,mixed,0.1,42,finetune,778,8,6,2,1.0
eval_balanced_refusal,0.923025,0.7775,0.71,0.01,gptoss120b,2,mixed,0.1,42,finetune,778,8,6,2,1.0
eval_daily_dilemmas,0.9846938775510204,0.9132653061224488,0.6122448979591837,0.01,gptoss120b,2,mixed,0.1,42,finetune,778,8,6,2,1.0
mean,0.9175148150387158,0.838790975345362,0.3305612244897959,0.01,gptoss120b,2,mixed,0.1,42,finetune,778,8,6,2,1.0
eval_ai_dilemmas,0.9896193771626296,0.9338235294117648,0.8676470588235294,0.01,gptoss120b,2,mixed,0.1,7,finetune,778,8,6,2,15.0
eval_ant_hh,0.7432613054132323,0.6791044776119403,0.0,0.01,gptoss120b,2,mixed,0.1,7,finetune,778,8,6,2,15.0
eval_balanced_refusal,0.9284,0.765,0.645,0.01,gptoss120b,2,mixed,0.1,7,finetune,778,8,6,2,15.0
eval_daily_dilemmas,0.976155768429821,0.9132653061224488,0.6632653061224489,0.01,gptoss120b,2,mixed,0.1,7,finetune,778,8,6,2,15.0
mean,0.9093591127514208,0.8227983282865385,0.5439780912364947,0.01,gptoss120b,2,mixed,0.1,7,finetune,778,8,6,2,15.0
eval_ai_dilemmas,0.9902681660899654,0.7647058823529411,0.0,0.01,gptoss120b,2,mixed,1.0,13,finetune,778,8,6,2,1.0
eval_ant_hh,0.7760080196034751,0.7014925373134329,0.0,0.01,gptoss120b,2,mixed,1.0,13,finetune,778,8,6,2,1.0
eval_balanced_refusal,0.85485,0.765,0.52,0.01,gptoss120b,2,mixed,1.0,13,finetune,778,8,6,2,1.0
eval_daily_dilemmas,0.9827155351936692,0.903061224489796,0.7142857142857143,0.01,gptoss120b,2,mixed,1.0,13,finetune,778,8,6,2,1.0
mean,0.9009604302217774,0.7835649110390425,0.3085714285714286,0.01,gptoss120b,2,mixed,1.0,13,finetune,778,8,6,2,1.0
eval_ai_dilemmas,0.9409602076124568,0.5294117647058824,0.4705882352941176,0.01,gptoss120b,2,mixed,1.0,42,finetune,778,8,6,2,4.0
eval_ant_hh,0.7471597237692136,0.6940298507462687,0.0,0.01,gptoss120b,2,mixed,1.0,42,finetune,778,8,6,2,4.0
eval_balanced_refusal,0.7865999999999999,0.745,0.585,0.01,gptoss120b,2,mixed,1.0,42,finetune,778,8,6,2,4.0
eval_daily_dilemmas,0.9771449396084964,0.8469387755102041,0.5918367346938775,0.01,gptoss120b,2,mixed,1.0,42,finetune,778,8,6,2,4.0
mean,0.8629662177475417,0.7038450977405888,0.4118562424969988,0.01,gptoss120b,2,mixed,1.0,42,finetune,778,8,6,2,4.0
eval_ai_dilemmas,0.9594506920415226,0.5367647058823529,0.4558823529411764,0.01,gptoss120b,2,mixed,1.0,7,finetune,778,8,6,2,3.0
eval_ant_hh,0.7413677879260414,0.6791044776119403,0.0,0.01,gptoss120b,2,mixed,1.0,7,finetune,778,8,6,2,3.0
eval_balanced_refusal,0.7363625,0.7225,0.52,0.01,gptoss120b,2,mixed,1.0,7,finetune,778,8,6,2,3.0
eval_daily_dilemmas,0.9736047480216576,0.8316326530612245,0.5714285714285714,0.01,gptoss120b,2,mixed,1.0,7,finetune,778,8,6,2,3.0
mean,0.8526964319973054,0.6925004591388795,0.3868277310924369,0.01,gptoss120b,2,mixed,1.0,7,finetune,778,8,6,2,3.0
eval_ai_dilemmas,0.9982698961937716,0.9779411764705882,0.8970588235294118,0.01,gptoss120b,30,dev,0.1,13,finetune,778,120,94,26,1.0
eval_ant_hh,0.7766763198930721,0.7164179104477612,0.0,0.01,gptoss120b,30,dev,0.1,13,finetune,778,120,94,26,1.0
eval_balanced_refusal,0.9143875,0.8275,0.635,0.01,gptoss120b,30,dev,0.1,13,finetune,778,120,94,26,1.0
eval_daily_dilemmas,0.9817263640149938,0.9438775510204082,0.0,0.01,gptoss120b,30,dev,0.1,13,finetune,778,120,94,26,1.0
mean,0.9177650200254592,0.8664341594846894,0.383014705882353,0.01,gptoss120b,30,dev,0.1,13,finetune,778,120,94,26,1.0
eval_ai_dilemmas,0.9974048442906576,0.9632352941176472,0.8529411764705882,0.01,gptoss120b,30,dev,0.1,42,finetune,778,120,94,26,1.0
eval_ant_hh,0.7663176654043218,0.7238805970149254,0.0,0.01,gptoss120b,30,dev,0.1,42,finetune,778,120,94,26,1.0
eval_balanced_refusal,0.904275,0.8175,0.6,0.01,gptoss120b,30,dev,0.1,42,finetune,778,120,94,26,1.0
eval_daily_dilemmas,0.9841732611411912,0.9642857142857144,0.6836734693877551,0.01,gptoss120b,30,dev,0.1,42,finetune,778,120,94,26,1.0
mean,0.9130426927090426,0.8672254013545717,0.5341536614645859,0.01,gptoss120b,30,dev,0.1,42,finetune,778,120,94,26,1.0
eval_ai_dilemmas,0.9978373702422146,0.9852941176470588,0.0,0.01,gptoss120b,30,dev,0.1,7,finetune,778,120,94,26,9.0
eval_ant_hh,0.791044776119403,0.7014925373134329,0.0,0.01,gptoss120b,30,dev,0.1,7,finetune,778,120,94,26,9.0
eval_balanced_refusal,0.8755124999999999,0.8075,0.565,0.01,gptoss120b,30,dev,0.1,7,finetune,778,120,94,26,9.0
eval_daily_dilemmas,0.986255726780508,0.9438775510204082,0.7551020408163265,0.01,gptoss120b,30,dev,0.1,7,finetune,778,120,94,26,9.0
mean,0.9126625932855312,0.859541051495225,0.3300255102040816,0.01,gptoss120b,30,dev,0.1,7,finetune,778,120,94,26,9.0
eval_ai_dilemmas,0.9993512110726644,0.9779411764705882,0.9558823529411764,0.01,gptoss120b,30,dev,1.0,13,finetune,778,120,94,26,1.0
eval_ant_hh,0.8093116507017153,0.7164179104477612,0.0,0.01,gptoss120b,30,dev,1.0,13,finetune,778,120,94,26,1.0
eval_balanced_refusal,0.9242,0.8225,0.585,0.01,gptoss120b,30,dev,1.0,13,finetune,778,120,94,26,1.0
eval_daily_dilemmas,0.9844856309870886,0.9489795918367347,0.0,0.01,gptoss120b,30,dev,1.0,13,finetune,778,120,94,26,1.0
mean,0.9293371231903672,0.866459669688771,0.3852205882352941,0.01,gptoss120b,30,dev,1.0,13,finetune,778,120,94,26,1.0
eval_ai_dilemmas,1.0,0.9926470588235294,0.0,0.01,gptoss120b,30,dev,1.0,42,finetune,778,120,94,26,33.0
eval_ant_hh,0.7815771886834484,0.7164179104477612,0.0,0.01,gptoss120b,30,dev,1.0,42,finetune,778,120,94,26,33.0
eval_balanced_refusal,0.928225,0.835,0.61,0.01,gptoss120b,30,dev,1.0,42,finetune,778,120,94,26,33.0
eval_daily_dilemmas,0.9847980008329864,0.9693877551020408,0.0,0.01,gptoss120b,30,dev,1.0,42,finetune,778,120,94,26,33.0
mean,0.9236500473791086,0.8783631810933328,0.1525,0.01,gptoss120b,30,dev,1.0,42,finetune,778,120,94,26,33.0
eval_ai_dilemmas,0.9965397923875432,0.9558823529411764,0.9558823529411764,0.01,gptoss120b,30,dev,1.0,7,finetune,778,120,94,26,2.0
eval_ant_hh,0.7856983738026286,0.7313432835820896,0.0,0.01,gptoss120b,30,dev,1.0,7,finetune,778,120,94,26,2.0
eval_balanced_refusal,0.888,0.8125,0.35,0.01,gptoss120b,30,dev,1.0,7,finetune,778,120,94,26,2.0
eval_daily_dilemmas,0.9850583090379008,0.9132653061224488,0.7857142857142857,0.01,gptoss120b,30,dev,1.0,7,finetune,778,120,94,26,2.0
mean,0.9138241188070182,0.8532477356614288,0.5228991596638656,0.01,gptoss120b,30,dev,1.0,7,finetune,778,120,94,26,2.0
eval_ai_dilemmas,0.9982698961937716,0.9779411764705882,0.8970588235294118,0.01,gptoss120b,30,mixed,0.1,13,finetune,778,120,94,26,4.0
eval_ant_hh,0.7768990866562709,0.7089552238805971,0.0,0.01,gptoss120b,30,mixed,0.1,13,finetune,778,120,94,26,4.0
eval_balanced_refusal,0.91815,0.8275,0.66,0.01,gptoss120b,30,mixed,0.1,13,finetune,778,120,94,26,4.0
eval_daily_dilemmas,0.9818825489379424,0.9438775510204082,0.0,0.01,gptoss120b,30,mixed,0.1,13,finetune,778,120,94,26,4.0
mean,0.9188003829469964,0.8645684878428983,0.3892647058823529,0.01,gptoss120b,30,mixed,0.1,13,finetune,778,120,94,26,4.0
eval_ai_dilemmas,0.9974048442906576,0.9632352941176472,0.8529411764705882,0.01,gptoss120b,30,mixed,0.1,42,finetune,778,120,94,26,2.0
eval_ant_hh,0.7664290487859212,0.7238805970149254,0.0,0.01,gptoss120b,30,mixed,0.1,42,finetune,778,120,94,26,2.0
eval_balanced_refusal,0.903675,0.8175,0.6,0.01,gptoss120b,30,mixed,0.1,42,finetune,778,120,94,26,2.0
eval_daily_dilemmas,0.9840691378592252,0.9642857142857144,0.6836734693877551,0.01,gptoss120b,30,mixed,0.1,42,finetune,778,120,94,26,2.0
mean,0.912894507733951,0.8672254013545717,0.5341536614645859,0.01,gptoss120b,30,mixed,0.1,42,finetune,778,120,94,26,2.0
eval_ai_dilemmas,0.9978373702422144,0.9852941176470588,0.0,0.01,gptoss120b,30,mixed,0.1,7,finetune,778,120,94,26,8.0
eval_ant_hh,0.7914903096458008,0.7014925373134329,0.0,0.01,gptoss120b,30,mixed,0.1,7,finetune,778,120,94,26,8.0
eval_balanced_refusal,0.8731249999999999,0.805,0.565,0.01,gptoss120b,30,mixed,0.1,7,finetune,778,120,94,26,8.0
eval_daily_dilemmas,0.9862557267805082,0.9438775510204082,0.7551020408163265,0.01,gptoss120b,30,mixed,0.1,7,finetune,778,120,94,26,8.0
mean,0.9121771016671308,0.858916051495225,0.3300255102040816,0.01,gptoss120b,30,mixed,0.1,7,finetune,778,120,94,26,8.0
eval_ai_dilemmas,0.9993512110726644,0.9779411764705882,0.9558823529411764,0.01,gptoss120b,30,mixed,1.0,13,finetune,778,120,94,26,1.0
eval_ant_hh,0.8093116507017153,0.7164179104477612,0.0,0.01,gptoss120b,30,mixed,1.0,13,finetune,778,120,94,26,1.0
eval_balanced_refusal,0.9242,0.8225,0.585,0.01,gptoss120b,30,mixed,1.0,13,finetune,778,120,94,26,1.0
eval_daily_dilemmas,0.9844856309870886,0.9489795918367347,0.0,0.01,gptoss120b,30,mixed,1.0,13,finetune,778,120,94,26,1.0
mean,0.9293371231903672,0.866459669688771,0.3852205882352941,0.01,gptoss120b,30,mixed,1.0,13,finetune,778,120,94,26,1.0
eval_ai_dilemmas,1.0,0.9926470588235294,0.0,0.01,gptoss120b,30,mixed,1.0,42,finetune,778,120,94,26,7.0
eval_ant_hh,0.7823568723546448,0.7164179104477612,0.0,0.01,gptoss120b,30,mixed,1.0,42,finetune,778,120,94,26,7.0
eval_balanced_refusal,0.9293125,0.8375,0.61,0.01,gptoss120b,30,mixed,1.0,42,finetune,778,120,94,26,7.0
eval_daily_dilemmas,0.984902124114952,0.9693877551020408,0.0,0.01,gptoss120b,30,mixed,1.0,42,finetune,778,120,94,26,7.0
mean,0.9241428741173991,0.8789881810933328,0.1525,0.01,gptoss120b,30,mixed,1.0,42,finetune,778,120,94,26,7.0
eval_ai_dilemmas,0.9965397923875432,0.9558823529411764,0.9558823529411764,0.01,gptoss120b,30,mixed,1.0,7,finetune,778,120,94,26,2.0
eval_ant_hh,0.7856983738026286,0.7313432835820896,0.0,0.01,gptoss120b,30,mixed,1.0,7,finetune,778,120,94,26,2.0
eval_balanced_refusal,0.888,0.8125,0.35,0.01,gptoss120b,30,mixed,1.0,7,finetune,778,120,94,26,2.0
eval_daily_dilemmas,0.9850583090379008,0.9132653061224488,0.7857142857142857,0.01,gptoss120b,30,mixed,1.0,7,finetune,778,120,94,26,2.0
