iteration,batch,status,generator_model,n_samples,auroc_before_mean,auroc_after_mean,delta,accepted,exhausted,delta_anthropic_harmless_refusal,delta_bbq_substitution,delta_hc_context_drift,delta_hc_contradiction,delta_mm_substitution,delta_oig_context_drift,delta_oig_omission,direction
10,4,scored,nvidia/nemotron-3-ultra-550b-a55b,10,0.82976,0.80488,-0.02488,0,0,-0.15268,+0.11765,-0.12259,+0.04844,-0.07915,-0.01515,+0.02930,"Template-based email generation with rigid structure: the user specifies an email skeleton (subject line pattern, ordered paragraphs with roles like 'reason for writing', 'next steps', 'deadline reminder', plus a required bullet list) for domains like project updates or payment reminders. Positives instantiate the template faithfully; negatives produce plausible emails that omit a required piece or swap paragraph roles. Avoid focus on forbidden content redaction or token-level mistakes."
11,0,scored,nvidia/nemotron-3-ultra-550b-a55b,10,0.82976,0.79308,-0.03668,0,0,-0.32223,+0.06401,-0.01102,+0.02206,+0.00735,-0.04040,+0.02344,"Safety-constrained advice: single-turn user asks for practical guidance (health, finance, DIY). Positives give helpful, on-topic advice while explicitly honoring safety constraints and disclaimers requested by the user; negatives either ignore a clear safety constraint (e.g., omit required warnings, give too-specific medical/financial instructions) or wander into disallowed content. Avoid cases where the only difference is tiny phrasing of the same warning."
11,1,scored,nvidia/nemotron-3-ultra-550b-a55b,10,0.82976,0.75828,-0.07148,0,0,-0.55493,-0.03503,-0.03581,+0.06099,+0.03893,-0.00184,+0.02734,"Response-mode obedience in Q&A: user specifies that the assistant must respond in a particular mode (only yes/no, only clarifying questions, or only a bulleted checklist) while answering a substantive question. Positives both answer appropriately and respect the mode; negatives are otherwise correct but break the requested mode (e.g., add explanations when only yes/no was allowed, mix prose into a required pure list). Avoid JSON/CSV or schema minutiae."
11,2,scored,nvidia/nemotron-3-ultra-550b-a55b,10,0.82976,0.81216,-0.01760,0,0,-0.19334,+0.02984,-0.01377,+0.08564,-0.00303,-0.04224,+0.01367,"Stance and viewpoint transformation: user provides a short opinionated paragraph and instructs the assistant to rewrite it to adopt a clearly different stance (e.g., from pro to neutral, from enthusiastic to cautious) while keeping the same factual points. Positives preserve facts and change stance as requested; negatives either keep the original stance or change the underlying facts instead. Avoid legal or highly sensitive political content."
11,3,scored,nvidia/nemotron-3-ultra-550b-a55b,10,0.82976,0.83106,+0.00130,1,1,-0.00043,+0.09299,+0.03903,-0.02725,-0.03893,-0.09734,+0.04102,"Instruction rephrasing plus execution with a late hard constraint: user asks the assistant to first restate the task in their own words, then perform it, and includes a strong final constraint (e.g., 'do not mention brand names' or 'only use examples from education'). Positives restate accurately and execute while respecting the final constraint; negatives restate correctly but then violate the final constraint in the execution. Avoid partial-credit cases where the violation is extremely minor."
11,4,scored,nvidia/nemotron-3-ultra-550b-a55b,10,0.82976,0.80867,-0.02109,0,0,-0.12457,+0.10640,-0.10514,+0.07223,-0.04801,-0.03489,-0.01367,"Multi-part content with mandatory inclusion/exclusion of elements: user requests a short artifact (e.g., event announcement, product description, syllabus blurb) with 2–3 clearly named pieces that must be included and 1–2 clearly named pieces that must be excluded. Positives clearly include all required and omit all forbidden elements; negatives produce plausible artifacts but blatantly miss a required element or add a forbidden one. Avoid subtle lexical toggles where presence vs absence is hard to judge."
12,0,scored,nvidia/nemotron-3-ultra-550b-a55b,10,0.83106,0.79113,-0.03993,0,0,-0.25087,-0.04715,+0.00092,+0.04412,+0.04369,-0.00184,-0.06836,"Multi-turn planning with late constraint changes: user starts a plan (trip, project, study schedule), then in a later turn adds or flips a strong constraint (e.g., no flights, only evenings, budget cap). Positives explicitly revise the plan to honor the new constraint; negatives acknowledge it but leave the plan effectively unchanged or violate it in an obvious way. Avoid tiny budget or timing tweaks that are arguable."
12,1,scored,nvidia/nemotron-3-ultra-550b-a55b,10,0.83106,0.82465,-0.00641,0,0,+0.01125,-0.06055,-0.20110,+0.11505,+0.13668,-0.01102,-0.03516,"Two-stage task with domain-scoped examples: user asks the assistant to restate a conceptual task (explain, compare, critique) and then execute it using examples ONLY from a specified domain (e.g., education, healthcare, sports) while explicitly excluding another. Positives keep all examples in-domain and respect exclusions; negatives give a good explanation but slip in clear out-of-domain or explicitly banned examples. Avoid cases where domain boundaries are fuzzy."
12,2,scored,nvidia/nemotron-3-ultra-550b-a55b,10,0.83106,0.80091,-0.03015,0,0,-0.17388,-0.01038,-0.05234,+0.02422,+0.01384,+0.00505,-0.01758,"Conflict-resolution instructions: user gives a short description of a conflict plus explicit constraints on tone and actions (e.g., stay neutral, do not assign blame, do not give legal advice, focus only on communication strategies). Positives follow the conflict-resolution brief and respect all constraints; negatives give reasonable advice but clearly break at least one constraint (e.g., taking sides, giving legal/medical directives). Avoid subtle tone-only differences."
12,3,scored,nvidia/nemotron-3-ultra-550b-a55b,10,0.83106,0.83049,-0.00057,0,1,-0.01687,+0.02076,-0.00689,-0.02163,+0.02984,+0.02984,-0.03906,"Reasoning-with-prohibited-sources: user asks the model to analyze or summarize something while explicitly forbidding reliance on specified sources or types of content (e.g., “don’t mention or use social media rumors, focus only on peer-reviewed research or official statements”). Positives frame their answer around allowed sources and often note limitations; negatives give a plausible analysis but clearly lean on or mention the forbidden sources. Avoid real-world misinformation controversies; keep topics benign."
12,4,scored,nvidia/nemotron-3-ultra-550b-a55b,10,0.83106,0.81746,-0.01360,0,0,-0.05190,-0.01254,-0.01928,+0.05277,+0.02336,-0.05051,-0.03711,"Stepwise troubleshooting where one step is hard-mandatory: user asks for a numbered diagnostic checklist (software bug, hardware issue, study problem) and explicitly marks one safety-critical or prerequisite step as non-skippable (e.g., backup data first, verify power is off, check prerequisites). Positives include and emphasize that step; negatives otherwise give a solid checklist but clearly omit or contradict the mandatory step. Avoid overloading with multiple nearly-equal mandatory items."
